episode,timestep,reward
2055,205600,249.0
2057,205800,124.5
2059,206000,203.0
2061,206200,125.5
2063,206400,161.5
2065,206600,161.5
2067,206800,198.5
2069,207000,188.0
2071,207200,187.0
2073,207400,194.0
2075,207600,290.5
2077,207800,164.0
2079,208000,234.0
2081,208200,244.5
2083,208400,144.0
2085,208600,233.5
2087,208800,172.0
2089,209000,204.0
2091,209200,179.0
2093,209400,235.0
2095,209600,231.5
2097,209800,310.5
2099,210000,255.5
2101,210200,166.5
2103,210400,192.0
2105,210600,128.5
2107,210800,348.5
2109,211000,212.5
2111,211200,239.5
2113,211400,216.0
2115,211600,143.5
2117,211800,232.0
2119,212000,389.5
2121,212200,129.5
2123,212400,151.0
2125,212600,244.5
2127,212800,236.5
2129,213000,245.5
2131,213200,206.5
2133,213400,190.0
2135,213600,170.5
2137,213800,208.5
2139,214000,254.5
2141,214200,102.5
2143,214400,194.5
2145,214600,168.5
2147,214800,131.5
2149,215000,130.0
2151,215200,218.5
2153,215400,167.0
2155,215600,194.5
2157,215800,266.5
2159,216000,192.5
2161,216200,305.0
2163,216400,194.5
2165,216600,226.5
2167,216800,262.5
2169,217000,188.5
2171,217200,103.0
2173,217400,214.0
2175,217600,194.0
2177,217800,173.5
2179,218000,220.0
2181,218200,244.0
2183,218400,238.5
2185,218600,244.0
2187,218800,140.5
2189,219000,170.0
2191,219200,166.0
2193,219400,265.5
2195,219600,288.0
2197,219800,180.5
2199,220000,147.0
2201,220200,185.5
2203,220400,220.5
2205,220600,220.5
2207,220800,272.5
2209,221000,145.0
2211,221200,208.5
2213,221400,238.5
2215,221600,201.5
2217,221800,172.5
2219,222000,184.5
2221,222200,180.5
2223,222400,217.5
2225,222600,231.5
2227,222800,276.0
2229,223000,234.5
2231,223200,253.5
2233,223400,187.5
2235,223600,183.0
2237,223800,181.0
2239,224000,183.0
2241,224200,225.0
2243,224400,167.0
2245,224600,237.0
2247,224800,191.0
2249,225000,191.5
2251,225200,252.5
2253,225400,211.0
2255,225600,275.0
2257,225800,207.5
2259,226000,263.5
2261,226200,162.5
2263,226400,233.0
2265,226600,150.0
2267,226800,185.0
2269,227000,205.5
2271,227200,181.0
2273,227400,241.0
2275,227600,247.0
2277,227800,188.5
2279,228000,388.0
2281,228200,200.5
2283,228400,144.5
2285,228600,210.0
2287,228800,130.5
2289,229000,203.5
2291,229200,174.0
2293,229400,181.5
2295,229600,204.0
2297,229800,181.0
2299,230000,183.5
2301,230200,244.0
2303,230400,222.0
2305,230600,254.5
2307,230800,184.5
2309,231000,233.0
2311,231200,240.5
2313,231400,218.0
2315,231600,239.5
2317,231800,208.0
2319,232000,191.0
2321,232200,215.5
2323,232400,185.0
2325,232600,178.5
2327,232800,207.5
2329,233000,272.0
2331,233200,217.5
2333,233400,147.0
2335,233600,223.5
2337,233800,261.0
2339,234000,234.5
2341,234200,191.5
2343,234400,216.0
2345,234600,234.0
2347,234800,202.0
2349,235000,142.0
2351,235200,181.0
2353,235400,254.0
2355,235600,259.5
2357,235800,203.0
2359,236000,172.5
2361,236200,183.0
2363,236400,150.0
2365,236600,249.5
2367,236800,167.0
2369,237000,181.0
2371,237200,234.0
2373,237400,202.0
2375,237600,262.5
2377,237800,215.5
2379,238000,212.0
2381,238200,236.0
2383,238400,177.5
2385,238600,178.0
2387,238800,222.5
2389,239000,175.5
2391,239200,214.5
2393,239400,201.5
2395,239600,278.5
2397,239800,169.5
2399,240000,256.5
2401,240200,275.0
2403,240400,246.0
2405,240600,205.0
2407,240800,227.5
2409,241000,236.0
2411,241200,204.5
2413,241400,187.5
2415,241600,298.5
2417,241800,237.0
2419,242000,231.5
2421,242200,223.0
2423,242400,247.0
2425,242600,232.0
2427,242800,199.5
2429,243000,211.5
